Year,energy capital cost,power capital cost,other,fix,variable,Lifetime
2010,277.2,261,99,0.486,0.00189,15
2011,277.2,261,99,0.486,0.00189,15
2012,277.2,261,99,0.486,0.00189,15
2013,277.2,261,99,0.486,0.00189,15
2014,277.2,261,99,0.486,0.00189,15
2015,277.2,261,99,0.486,0.00189,15
2016,245.52,257.4,97.2,0.486,0.001872,15
2017,213.84,253.8,95.4,0.486,0.001854,15
2018,182.16,250.2,93.6,0.486,0.001836,15
2019,150.48,246.6,91.8,0.486,0.001818,15
2020,340.9855363,243,90,0.486,0.0018,20
2021,325.8443636,233.1,88.2,0.486,0.001782,20
2022,299.6165904,223.2,86.4,0.486,0.001764,20
2023,284.0250041,213.3,84.6,0.486,0.001746,20
2024,268.6324589,203.4,82.8,0.486,0.001728,20
2025,256.3939913,193.5,81,0.486,0.00171,20
2026,252.1267662,183.6,79.2,0.486,0.001692,20
2027,252.2646228,173.7,77.4,0.486,0.001674,20
2028,250.6399692,163.8,75.6,0.486,0.001656,20
2029,245.3431603,153.9,73.8,0.486,0.001638,20
2030,243.7228531,144,72,0.486,0.00162,25
2031,244.6569533,138.6,69.3,0.486,0.001611,25
2032,251.06597,133.2,66.6,0.486,0.001602,25
2033,252.6795092,127.8,63.9,0.486,0.001593,25
2034,256.254209,122.4,61.2,0.486,0.001584,25
2035,263.5664492,117,58.5,0.486,0.001575,25
2036,270.1278256,111.6,55.8,0.486,0.001566,25
2037,275.5322879,106.2,53.1,0.486,0.001557,25
2038,280.5039521,100.8,50.4,0.486,0.001548,25
2039,285.9925896,95.4,47.7,0.486,0.001539,25
2040,289.4580848,90,45,0.486,0.00153,30
2041,291.9312945,86.4,44.1,0.486,0.001521,30
2042,293.7950607,82.8,43.2,0.486,0.001512,30
2043,293.28666,79.2,42.3,0.486,0.001503,30
2044,292.4237974,75.6,41.4,0.486,0.001494,30
2045,292.7039504,72,40.5,0.486,0.001485,30
2046,290.3354925,68.4,39.6,0.486,0.001476,30
2047,288.4781966,64.8,38.7,0.486,0.001467,30
2048,285.6700895,61.2,37.8,0.486,0.001458,30
2049,283.4820947,57.6,36.9,0.486,0.001449,30
2050,280.6672406,54,36,0.486,0.00144,30
