Company Name,Station Name,Fuel,Installed Capacity(MW),StartYear,Location,Bus
Beaufort Wind Ltd,Bears Down,Wind Onshore,10,2001,South West,29
Beaufort Wind Ltd,Bein Ghlas,Wind Onshore,8,1999,Scotland,3
Beaufort Wind Ltd,Bryn Titli,Wind Onshore,10,1994,Wales,30
Beaufort Wind Ltd,Carno,Wind Onshore,34,1996,Wales,18
Beaufort Wind Ltd,Causeymire,Wind Onshore,48,2004,Scotland,1
Beaufort Wind Ltd,Kirkby Moor,Wind Onshore,5,1993,North West,11
Beaufort Wind Ltd,Lambrigg,Wind Onshore,7,2000,North West,11
Beaufort Wind Ltd,Llyn Alaw,Wind Onshore,20,1997,Wales,12
Beaufort Wind Ltd,Mynydd Gorddu,Wind Onshore,10,1996,Wales,30
Beaufort Wind Ltd,Novar,Wind Onshore,17,1997,Scotland,1
Beaufort Wind Ltd,Taff Ely,Wind Onshore,9,1993,Wales,30
Beaufort Wind Ltd,Tow Law,Wind Onshore,2,2001,North East,10
Beaufort Wind Ltd,Trysglwyn,Wind Onshore,6,1996,Scotland,12
Beaufort Wind Ltd,Windly Standard,Wind Onshore,22,1996,Wales,9
Beaufort Wind Ltd,North Hoyle,Wind Offshore,60,2003,Wales,13
Beaufort Wind Ltd,Farr,Wind Onshore,92,2006,Scotland,1
Beaufort Wind Ltd,Ffynnon Oer,Wind Onshore,32,2006,Wales,30
British Energy,Dungeness B,Nuclear,1040,1983,South East,27
British Energy,Hartlepool,Nuclear,1190,1984,North East,10
British Energy,Heysham1,Nuclear,1160,1984,North West,11
British Energy,Heysham2,Nuclear,1230,1988,North West,11
British Energy,Hinkley Point B,Nuclear,860,1976,South West,29
British Energy,Sizewell B,Nuclear,1188,1995,East,20
British Energy,Hunterston B,Nuclear,860,1976,Scotland,5
British Energy,Torness,Nuclear,1205,1988,Scotland,7
Centrica,Barry,CCGT,230,1998,Wales,30
Centrica,Glanford Brigg,CCGT,260,1993,Yorkshire and the Humber,16
Centrica,Killingholme,CCGT,665,1994,Yorkshire and the Humber,16
Centrica,Kings Lynn,CCGT,340,1996,East,19
Centrica,Peterborough,CCGT,405,1993,East,19
Centrica,Roosecote,CCGT,229,1991,North West,11
Centrica,South Humber Bank,CCGT,1285,1996,Yorkshire and the Humber,16
Centrica,Langage,CCGT,905,2010,South West,29
Centrica,Glens of Foudland,Wind Onshore,26,2005,Scotland,2
Centrica,Barrow Offshore Windflarm,Wind Offshore,90,2006,North West,11
Centrica,Lynn Wind Farm,Wind Offshore,97,2009,East Midlands,19
Centrica,Inner Dowsing Wind Farm,Wind Offshore,97,2009,East Midlands,16
Drax Power Ltd,Drax,Coal,3870,1974,Yorkshire and the Humber,16
Drax Power Ltd,Drax GT,OCGT,75,1971,Yorkshire and the Humber,16
EDF Energy,Sutton Bridge,CCGT,800,1999,East,19
EDF Energy,Cottam,Coal,2008,1969,East Midlands,14
EDF Energy,West Burton,Coal,2012,1967,East Midlands,15
EDF Energy,West Burton GT,OCGT,40,1967,East Midlands,14
EDF Energy,Thames Valley Power,Gas/gas oil CHP,15,1995,London,25
EDF Energy,London Heat&Power Company,Gas CHP,9,2000,London,25
EDF Energy,Barkantine Heat&Power Company,Gas CHP,1,2000,London,25
EDF Energy,Aberdare Distric Energy,Gas,10,2002,Wales,30
EDF Energy,Bridgewater Distric Energy,Gas,10,2000,South West,29
EDF Energy,Sevington Distric Energy,Gas,10,2000,South East,27
EDF Energy,Solutia District Energy,Gas,10,2000,Wales,30
EDF Energy Renewable,Bicker Fen,Wind Onshore,26,2008,East Midlands,19
EDF Energy Renewable,Walkaway,Wind Onshore,14,2008,North East,10
EDF Energy Renewable,Longpark,Wind Onshore,38,2009,Scotland,9
E.On UK,Kingsnorth,Coal,1940,1970,South East,27
E.On UK,Ironbridge,Coal,970,1970,West Midlands,18
E.On UK,Ratcliffe,Coal,2000,1968,East Midlands,17
E.On UK,Grain,Oil,1300,1979,South East,26
E.On UK,Grain GT,Gas oil,55,1978,South East,26
E.On UK,Kingsnorth GT,Gas oil,34,1967,South East,27
E.On UK,Ratcliffe GT,Gas oil,34,1966,East Midlands,17
E.On UK,Taylor's Lane GT,Gas oil,132,1979,London,25
E.On UK,Connahs Quay,CCGT,1380,1996,Wales,12
E.On UK,Cottam Development Centre,CCGT,400,1999,East Midlands,17
E.On UK,Enfield,CCGT,392,1999,London,25
E.On UK,Killingholme,CCGT,900,1993,Yorkshire and the Humber,16
