,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,3,250000,212500.0,2048,False,Baglan Generation Ltd
CCGT,0,29,250000,212500.0,2048,False,Barking Power
CCGT,0,26,250000,212500.0,2048,False,Centrica
OCGT,0,28,500000,460000.0,2047,False,Citigen (London) UK Ltd
CCGT,0,17,250000,212500.0,2048,False,Corby Power Ltd
CCGT,0,27,250000,212500.0,2048,False,Cory Energy Company Ltd
CCGT,90.38767988019549,20,250000,212500.0,2048,False,Derwent Cogeneration
OCGT,0,21,500000,460000.0,2047,False,Drax Power Ltd
Hydrogen,0,24,500000,425000.0,2048,False,EDF Energy
CCGT,348.3508263878267,19,250000,212500.0,2048,False,EDF Energy
Biomass,0,25,14000,12320.0,2047,False,EPR Ely Limited
Biomass,0,8,14000,12320.0,2047,False,E.On UK
CCGT,0,12,250000,212500.0,2048,False,E.On UK
BECCS,0,18,500000,440000.0,2047,False,International Power/Mitsui
Biomass,0,22,14000,12320.0,2047,False,Sembcorp Utilities (UK) Ltd
