,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW
BECCS,0.02663148375464671,12,500000,2015,Thermal,500000
Hydrogen,0.04107461246255321,22,500000,2016,EDF Energy,500000
Hydro,0.041401582813000104,9,10000,2015,Statkraft Energy Ltd,10000
Hydro,0.041401582813000104,10,10000,2015,Lanark,20000
Hydro,0.041401582813000104,8,10000,2015,Sloy/Awe,60000
Hydro,0.041401582813000104,30,10000,2015,Shin,40000
Hydro,0.041401582813000104,30,10000,2015,Conon,50000
Hydro,0.041401582813000104,5,10000,2015,Scottish Power Hydro schemes: Galloway,30000
Wind Onshore,0.05320694803182193,14,30000,2017,Wind,150000
Wind Onshore,0.05320694803182193,24,30000,2017,Cemmaes Windfarm Ldt,180000
Wind Onshore,0.05320694803182193,12,30000,2017,Yorkshire Windpower Ltd,210000
Wind Onshore,0.05320694803182193,26,30000,2017,Llangwyryfon Windfarm Ltd,240000
Wind Onshore,0.05320694803182193,4,30000,2017,RES-Gen Ltd,270000
Wind Onshore,0.05320694803182193,23,30000,2017,Centrica,300000
Wind Onshore,0.05320694803182193,26,30000,2017,Kirkheaton Wind Ltd,360000
Wind Onshore,0.05320694803182193,28,30000,2017,Dong Energy,390000
Wind Onshore,0.05320694803182193,14,30000,2017,Fenland Windfarms Ltd,120000
Wind Onshore,0.05320694803182193,28,30000,2017,Infinis Windfarm,450000
Wind Onshore,0.05320694803182193,23,30000,2017,K/S Winscales,480000
Wind Onshore,0.05320694803182193,15,30000,2017,GDF Suez,510000
Wind Onshore,0.05320694803182193,21,30000,2017,Npower Renewables Ltd,540000
Wind Onshore,0.05320694803182193,9,30000,2017,E.On UK,330000
Wind Onshore,0.05320694803182193,16,30000,2017,Distributed Generation,420000
Wind Onshore,0.05320694803182193,10,30000,2017,Cold Northcott Windfarm Ltd,90000
Wind Onshore,0.05320694803182193,21,30000,2017,EDF Energy Renewable,30000
Wind Onshore,0.05320694803182193,19,30000,2017,Great Orton Windfarm Ltd,60000
Solar,0.07978606893711651,4,100000,2014,Distributed Generation,100000
Wind Offshore,0.08242145650055531,10,50000,2018,Beaufort Wind Ltd,50000
Wind Offshore,0.08242145650055531,20,50000,2018,E.On UK,100000
Wind Offshore,0.08242145650055531,10,50000,2018,Centrica,150000
Wind Offshore,0.08242145650055531,19,50000,2018,Vattenfall Wind Power,200000
Wind Offshore,0.08242145650055531,1,50000,2018,Distributed Generation,250000
Wind Offshore,0.08242145650055531,27,50000,2018,Talisman Energy,300000
Wind Offshore,0.08242145650055531,8,50000,2018,Npower Renewables Ltd,350000
Nuclear,0.09073742222687527,29,1000000,2021,British Energy,1000000
Wind Offshore,662.8047239986947,1,50000,2018,Cemmaes Windfarm Ldt,900000
Wind Offshore,662.8047239986947,27,50000,2018,Fred Olsen,950000
Wind Offshore,662.8047239986947,16,50000,2018,High Hedley Hope Wind Ltd,400000
Wind Offshore,662.8047239986947,30,50000,2018,Infinis Windfarm,1000000
Wind Offshore,662.8047239986947,26,50000,2018,Fenland Windfarms Ltd,550000
Wind Offshore,662.8047239986947,30,50000,2018,Llangwyryfon Windfarm Ltd,600000
Wind Offshore,662.8047239986947,27,50000,2018,Wind,650000
Wind Offshore,662.8047239986947,19,50000,2018,GDF Suez,700000
Wind Offshore,662.8047239986947,12,50000,2018,Statkraft Energy Ltd,750000
Wind Offshore,662.8047239986947,13,50000,2018,HG Capital,800000
Wind Offshore,662.8047239986947,16,50000,2018,Bares of Doune Windfarm,850000
Wind Offshore,662.8047239986947,8,50000,2018,EDF Energy Renewable,450000
Wind Offshore,662.8047239986947,8,50000,2018,Yorkshire Windpower Ltd,500000
