,GB Electricity Demand,Demand - Renewables,Demand - Renewables - Battery,Peak: 72.47 GW,Peak - Renewables: 47.25 GW,Peak - Renewables - Battery: 43.73 GW,Battery Charge/Discharge
0,38776491.355777994,0.0,2117602.6671842076,72472400.00000001,47249160.88804497,43727771.03722904,-2117602.6671842076
1,39153313.921747044,0.0,2117602.6671842076,72472400.00000001,47249160.88804497,43727771.03722904,-2117602.6671842076
2,37617037.30664239,0.0,2117602.6671842076,72472400.00000001,47249160.88804497,43727771.03722904,-2117602.6671842076
3,36256128.116469525,0.0,2117602.6671842076,72472400.00000001,47249160.88804497,43727771.03722904,-2117602.6671842076
4,34669125.386715196,0.0,2117602.6671842076,72472400.00000001,47249160.88804497,43727771.03722904,-2117602.6671842076
5,34569847.13375797,0.0,2117602.6671842076,72472400.00000001,47249160.88804497,43727771.03722904,-2117602.6671842076
6,36117718.28935395,0.0,2117602.6671842076,72472400.00000001,47249160.88804497,43727771.03722904,-2117602.6671842076
7,35679299.72702457,0.0,2117602.6671842076,72472400.00000001,47249160.88804497,43727771.03722904,-2117602.6671842076
8,37147458.4167425,0.0,2117602.6671842076,72472400.00000001,47249160.88804497,43727771.03722904,-2117602.6671842076
9,41144676.25113741,0.0,2117602.6671842076,72472400.00000001,47249160.88804497,43727771.03722904,-2117602.6671842076
10,45058558.32575068,819111.5263643488,2544132.0185207045,72472400.00000001,47249160.88804497,43727771.03722904,-1725020.4921563556
11,48439091.537761614,3323329.740824342,3848133.410565028,72472400.00000001,47249160.88804497,43727771.03722904,-524803.6697406862
12,50592052.775250226,5139219.445293918,4793707.038595647,72472400.00000001,47249160.88804497,43727771.03722904,345512.40669827163
13,50671040.582347594,10414909.046442635,7540874.415690685,72472400.00000001,47249160.88804497,43727771.03722904,2874034.6307519507
14,50215954.86806187,11604083.031212945,8160103.412017498,72472400.00000001,47249160.88804497,43727771.03722904,3443979.6191954464
15,50550022.565969065,14482601.188009225,9659010.999947745,72472400.00000001,47249160.88804497,43727771.03722904,4823590.1880614795
16,54836379.25386715,16659459.971207343,10792549.150570285,72472400.00000001,47249160.88804497,43727771.03722904,5866910.8206370585
17,57134996.90627843,14113480.536786616,9466801.774630535,72472400.00000001,47249160.88804497,43727771.03722904,4646678.76215608
18,55114648.22565968,13050663.497673273,11625519.091434438,72472400.00000001,47249160.88804497,43727771.03722904,1425144.4062388353
19,52427613.46678801,8600565.160287522,8600565.160287522,72472400.00000001,47249160.88804497,43727771.03722904,0.0
20,48984034.94085534,3380825.6268765554,3878072.7804713678,72472400.00000001,47249160.88804497,43727771.03722904,-497247.1535948124
21,45570892.08371248,575669.9872425497,2417366.6655401965,72472400.00000001,47249160.88804497,43727771.03722904,-1841696.6782976468
22,41459178.16196543,0.0,2117602.6671842076,72472400.00000001,47249160.88804497,43727771.03722904,-2117602.6671842076
23,38848232.57506825,0.0,2117602.6671842076,72472400.00000001,47249160.88804497,43727771.03722904,-2117602.6671842076
