,2010
0,2826411770.978891
1,3179713242.351252
2,3533014713.723619
3,8125933841.564336
4,3179713242.351252
5,7419330898.819598
6,4592919127.840702
7,706602942.7447227
8,706602942.7447227
9,16251867683.128672
10,21198088282.34178
11,7419330898.819598
12,15898566211.756313
13,11658948555.287935
14,16605169154.501005
15,10245742669.79852
16,6712727956.074847
17,33563639780.374317
18,12718852969.405008
19,6359426484.702504
20,4592919127.840702
21,11305647083.915564
22,29677323595.278393
23,8832536784.309006
24,61121154547.41875
25,8832536784.309006
26,2826411770.978891
27,17311772097.245735
28,8125933841.564336
29,8125933841.564336
