,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2
0,32325692.28769411,20222456.398705363,9731226.398705363,9731226.398705363,0
1,32639827.215550598,20566938.962820098,10075708.962820098,10075708.962820098,0
2,31359123.2789049,19550406.5028074,9059176.502807401,9059176.502807401,0
3,30224612.904838562,18569658.27927981,8078428.279279809,8078428.279279809,0
4,28901621.57405834,17452727.834581338,6961497.834581338,6961497.834581338,0
5,28818859.102680758,17641402.736281008,7150172.7362810075,7150172.7362810075,0
6,30109228.729414355,19428672.26754668,8937442.26754668,8937442.26754668,0
7,29743744.82296594,19136898.636580437,8645668.636580437,8645668.636580437,0
8,30967662.830345273,21210999.56001225,10719769.560012251,10719769.560012251,0
9,34299909.48814606,24757537.576535963,14266307.576535963,14266307.576535963,0
10,37562683.99844015,27694143.197935455,17202913.197935455,17202913.197935455,0
11,40380836.76469119,30354967.1388809,19863737.1388809,19863737.1388809,0
12,42175634.592886634,32206867.50297481,21715637.50297481,21715637.50297481,0
13,42241482.1066104,33794758.05771117,23303528.05771117,23303528.05771117,0
14,41862103.770660646,33666108.11903386,23174878.11903386,23174878.11903386,0
15,42140596.466318026,34224044.09936476,23732814.099364758,23732814.099364758,0
16,45713881.270685636,36514985.230375655,26023755.230375655,26023755.230375655,0
17,47630104.330610245,36988699.12302963,26497469.123029627,26497469.123029627,0
18,45945857.83279506,35324805.51204431,24833575.51204431,24833575.51204431,0
19,43705834.15492606,32672386.72039231,22181156.72039231,22181156.72039231,0
20,40835124.1988221,29208471.128773354,18717241.128773354,18717241.128773354,0
21,37989786.67919888,26771460.434915386,16280230.434915386,16280230.434915386,0
22,34562091.33178012,23654532.357019875,13163302.357019875,13163302.357019875,0
23,32385498.74511293,21579809.43118418,11088579.43118418,11088579.43118418,0
24,32108818.366347034,21876573.09080703,11385343.090807032,11385343.090807032,0
25,32300319.85121339,22712560.10729639,12221330.107296389,12221330.107296389,0
26,31758437.100660942,23031135.56058894,12539905.560588941,12539905.560588941,0
27,31728835.924766768,24153298.38255552,13662068.382555518,13662068.382555518,0
28,31507733.26400624,24486635.134860486,13995405.134860486,13995405.134860486,0
29,32383082.322590966,25703972.374477714,15212742.374477714,15212742.374477714,0
30,36050607.60531553,29137260.741810776,18646030.741810776,18646030.741810776,0
31,41192150.62644362,34165913.22810562,23674683.22810562,23674683.22810562,0
32,45143001.44986951,37238259.643164225,26747029.643164225,26747029.643164225,0
33,48541095.62139407,39414837.74248745,28923607.742487453,28923607.742487453,0
34,50199365.57709804,40879348.14736617,30388118.147366174,30388118.147366174,0
35,51004034.276915066,41112105.77253404,30620875.772534043,30620875.772534043,0
36,51716878.92089713,40234557.098160096,29743327.098160096,29743327.098160096,0
37,51508462.478376955,39603525.62968239,29112295.629682392,29112295.629682392,0
38,50715875.89116978,38581729.2199488,28090499.2199488,28090499.2199488,0
39,51086796.748292655,39067642.62115631,28576412.621156313,28576412.621156313,0
40,53902533.092021726,43353773.6776688,32862543.677668802,32862543.677668802,0
41,55726932.09611136,45071842.5978248,34580612.5978248,34580612.5978248,0
42,54461934.90585848,44181144.57315923,33689914.57315923,33689914.57315923,0
43,51409993.26060656,40710864.44096255,30219634.440962553,30219634.440962553,0
44,47456121.90902818,36389537.50647968,25898307.50647968,25898307.50647968,0
45,42560449.87951084,31064240.521329593,20573010.521329593,20573010.521329593,0
46,37284795.40841324,26115901.72521449,15624671.725214489,15624671.725214489,0
47,33283199.712025914,22212086.646516666,11720856.646516666,11720856.646516666,0
48,32592706.976372126,21486591.32835838,10995361.328358378,10995361.328358378,0
49,32165000.1899829,20849679.8729774,10358449.872977398,10358449.872977398,0
50,31946918.057374835,20455673.796127584,9964443.796127584,9964443.796127584,0
51,31481756.721895028,20128078.281270526,9636848.281270526,9636848.281270526,0
52,31275756.70189683,19726612.56861883,9235382.56861883,9235382.56861883,0
