,2010
0,-32212711.555959966
1,-32067843.49408553
2,-31767613.284804363
3,-28212832.939035483
4,-28021373.430391263
5,-29166767.515923575
6,-28040878.70791629
7,-30388254.04913558
8,-31222433.48498635
9,-31615902.27479528
10,-35095151.50136488
11,-38698275.5232029
12,-40395050.50045496
13,-36304364.69517744
14,-40756536.123748854
15,-33969231.93812557
16,-40514107.734303914
17,-46674012.55686988
18,-44359251.31938125
19,-42836333.57597816
20,-40944681.71064603
21,-36877967.42493176
22,-35329923.93084623
23,-31884850.13648772
24,-31686007.00636943
25,-29468773.97634213
26,-28935821.383075524
27,-31005560.87352138
28,-30411533.393994536
29,-29371379.890809827
