,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,-32212711.56,-32212711.555959966,-31440289.899909005,-31199613.830755223,-31146055.141037308,-31467407.279344853,-31092496.451319378,-30664026.933575984,-30824703.002729755,-30985379.071883526,-30557909.55414013,-29993763.967242956,-29764411.828935396,-29531059.690627843,-29397383.62147406,-29333266.24203822
1,-32067843.49,-32067843.49408553,-31285735.213830754,-30811097.725204736,-30521724.56232939,-30846199.53958144,-30467645.399454046,-29785012.096451316,-29579602.585077345,-29374193.073703364,-28941559.77070063,-29409041.97907188,-29084567.00181984,-28524798.02456778,-28244913.53594176,-28136755.210191086
2,-31767613.28,-31767613.284804363,-31040212.010919005,-30884340.30937215,-30832383.075523205,-31144126.478616923,-30780425.84167425,-30114767.970882624,-30020639.672429472,-30176511.37397635,-29818853.503184717,-29001323.93084622,-28704580.5277525,-28403837.12465879,-28281965.423111916,-28233050.955414016
3,-28212832.94,-28212832.939035483,-27507947.58871701,-27176715.01364878,-27008990.488626014,-27309455.63876252,-26958912.96360327,-26558292.76342129,-26708525.33848953,-26858757.91355778,-26340490.713375792,-25867637.93812557,-25449525.78798908,-26839413.637852598,-26442181.062784344,-26106732.01273886
4,-28021373.43,-28021373.430391263,-27344975.978161965,-27162519.381255694,-27114633.84895359,-27401947.042766154,-27066748.316651486,-26433664.058234762,-25959673.655141037,-26103330.252047315,-25373245.993630562,-24483858.13830755,-24124897.944494996,-23719937.750682443,-23584281.15377616,-23394863.08917198
5,-29166767.52,-29166767.515923575,-28300389.8089172,-27396544.585987262,-27348796.178343948,-27635286.624203816,-27051047.770700626,-26669060.50955414,-26444658.732484072,-26587903.955414016,-26205916.69426751,-25579037.210191086,-25304546.764331203,-24518056.31847134,-24124811.095541403,-24035314.280254774
6,-28040878.71,-26237678.70791629,-25537769.79071883,-25322710.73703366,-25155177.38580527,-25454495.49317561,-25105291.03457688,-24706200.224749774,-24855859.27843494,-24887871.33212011,-24488780.522292994,-23701030.65878071,-23151712.55141037,-22852394.444040038,-23737088.39035487,-23519668.687898092
7,-30277254.05,-30388254.04913558,-29698322.838944484,-29502480.436760686,-29453199.636032753,-29748884.44040037,-29403918.83530482,-28759672.429481354,-28907514.831665143,-29055357.233848955,-28307463.828025475,-27647728.02001821,-27102043.215650596,-26688711.411282986,-26177222.00909918,-25961013.407643314
8,-31222433.48,-31042433.48498635,-30314912.46587807,-30010986.53321201,-29959677.888989992,-30267529.754322104,-29908369.244767964,-29497900.09099181,-29284179.02365787,-29188104.956323933,-28810635.802547768,-27628593.716105558,-27531741.85077344,-27223889.985441312,-26819964.052775245,-26223346.76433121
9,-31615902.27,-31573902.27479528,-30749786.988171056,-30303897.99818016,-30184968.334849864,-30525946.314831667,-30128138.671519555,-29673501.364877157,-29093990.35486806,-30904185.34485896,-30479548.038216557,-29854421.74158326,-29263443.761601467,-28922465.781619646,-28751976.79162875,-28520670.46496816
10,-35658351.5,-35658351.50136488,-34603453.412192896,-34206846.678798914,-34026964.10100091,-34400377.56778889,-33964728.52320291,-33466843.900818937,-33892550.63421291,-34084257.36760692,-33586372.745222926,-32534134.389444962,-31925426.922656946,-31552013.45586898,-30865306.722474977,-30745835.566878982
11,-38698275.52,-38698275.5232029,-37735608.00727934,-37284893.53958144,-36671770.717015475,-37073199.652411275,-36604865.8944495,-35641056.31392175,-35724123.78161965,-35924838.24931755,-34853885.66878981,-34000285.62056416,-33487209.685168333,-34485780.74977252,-34313066.282074615,-34179256.636942685
12,-39831850.5,-40196050.50045496,-39217751.13739764,-38990115.55959963,-38777380.03366696,-39196651.18926296,-38707501.507734306,-37898473.30027298,-37608108.87807098,-37317744.45586897,-36498212.24840765,-35979548.46314832,-35560277.307552315,-35585293.15195632,-35375657.574158326,-35279900.522292994
13,-36304364.7,-36304364.69517744,-35320037.943585075,-34847475.06824385,-34542193.443130106,-34962119.19381256,-34472205.818016365,-33662304.817106456,-33872267.69244767,-33973583.5677889,-33296035.56687899,-32526171.690627858,-32140245.9399454,-31720320.18926297,-33510357.313921757,-36140382.06369426
14,-40756536.12,-40716536.123748854,-39745509.3721565,-39537432.211100996,-39325216.15741584,-39741370.47952685,-39005857.103730656,-38165270.67424932,-38123347.835304804,-38220777.996360324,-36987334.56687897,-38158737.97634214,-37742583.65423112,-36351640.33212011,-35908269.17106461,-35651904.06369426
15,-33969231.94,-33858231.93812557,-32880745.313921735,-32367283.894449487,-32015463.42129208,-32434386.260236576,-31945642.94813466,-31387079.16287534,-31596540.5823476,-31806002.00181984,-31907438.21656052,-32628413.01182895,-32209490.172884442,-33075567.33393994,-32866105.9144677,-32608817.968152866
16,-43217107.73,-43133107.734303914,-42063735.759781614,-41836513.193812564,-41643125.33848954,-42097570.47042765,-41567384.48316651,-40211457.640582345,-39938680.206551395,-39915902.772520475,-41343328.92993629,-40390532.52138308,-39186087.38944495,-38613995.25750683,-38136772.69153776,-37917643.98089172
17,-46674012.56,-46674012.55686988,-45569192.17470427,-45332444.9499545,-45135882.208371244,-45609376.657870784,-45056966.46678799,-44425640.53412193,-44551740.75887169,-44670840.98362148,-43789515.050955415,-44779794.893539585,-44340300.44404004,-43616805.9945405,-43130058.769790724,-42486933.2866242
18,-44359251.32,-44359251.31938125,-43293498.453139216,-42482122.83894448,-42263140.6342129,-42719891.862602346,-42187015.42948135,-41185156.79162877,-41295885.40582347,-41406614.02001819,-41202612.382165596,-40247588.1301183,-39290836.90172885,-39174085.6733394,-38945710.05914467,-38793459.64968154
19,-42836333.58,-42836333.57597816,-41818439.94540491,-41097198.453139216,-40764280.622384,-41198763.60691537,-40691866.79162874,-39969699.1455869,-39938940.637852594,-40156182.130118296,-39434014.484076425,-38152168.34576889,-37467685.361237496,-36354631.37670611,-35637389.88444039,-35374915.22292995
20,-41055681.71,-41000681.71064603,-40053476.61510462,-39824504.09463148,-39756846.5878071,-40162791.628753416,-39689189.0809827,-39147929.02638762,-39100901.54686078,-39068580.06733394,-38277320.01273886,-36783087.4376706,-36292142.39672429,-35886197.35577799,-35433224.83530483,-35180262.82165605
21,-36877967.42,-36777967.42493176,-35896762.329390354,-35430432.66606005,-35367489.44494994,-35745148.77161055,-35304546.22383985,-34551000.454959065,-34739830.11828935,-34678659.78161965,-33925114.012738846,-32997444.580527753,-34577785.253867164,-34300125.92720655,-33861296.26387625,-33735409.82165605
22,-35329923.93,-35329923.93084623,-34528227.115559585,-34106434.94085532,-34049170.882620566,-34392755.23202912,-33991906.82438579,-33533794.358507723,-33587939.533212006,-33759731.70791628,-33051619.242038213,-32421714.60145588,-31960483.252047315,-31618898.902638763,-31079459.72793448,-30964931.611464974
