,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2,Curtailement,Loss of load
0,32028096.451319378,13176619.153597932,0.0,1557248.2475853704,0,0.0,0.0
1,32339339.399454046,13434072.103084937,0.0,1557248.2475853704,0,0.0,0.0
2,31070425.84167425,12366265.034435563,0.0,1557248.2475853704,0,0.0,0.0
3,29946359.96360327,11377129.667749193,0.0,1557248.2475853704,0,0.0,0.0
4,28635548.316651486,10307542.662984014,0.0,1557248.2475853704,0,0.0,0.0
5,28553547.770700626,10556648.812998861,0.0,1557248.2475853704,0,0.0,0.0
6,29832038.03457688,12284171.892828647,0.0,1557248.2475853704,0,0.0,0.0
7,29469918.83530482,12063137.274265714,0.0,1557248.2475853704,0,0.0,0.0
8,30682569.244767964,14405876.594703263,0.0,1557248.2475853704,0,0.0,0.0
9,33984138.671519555,19115069.124355532,1329179.1243555322,2497861.2453845334,0,0.0,0.0
10,37216875.52320291,22657916.44558661,4872026.445586611,5005008.836333707,0,0.0,0.0
11,40009083.8944495,25872417.601632185,8086527.601632185,7279797.47348066,0,0.0,0.0
12,41787358.507734306,28494640.60214322,10708750.60214322,9135451.833538795,0,0.0,0.0
13,41852599.818016365,31389283.072187457,13603393.072187457,11183887.805346018,0,0.0,0.0
14,41476714.103730656,31117831.38371918,13331941.38371918,10991791.057985796,0,0.0,0.0
15,41752642.94813466,31491049.88836015,13705159.88836015,11255904.577414325,0,0.0,0.0
16,45293031.48316651,33263071.588413417,15477181.588413417,12509901.584221384,0,0.0,0.0
17,47191613.46678799,31846926.742544793,14061036.742544793,11538629.539494459,0,0.0,0.0
18,45522872.42948135,30789972.621244535,13004082.621244535,12765810.888719082,0,0.0,0.0
19,43303470.79162874,27262439.401477296,9476549.401477296,9476549.401477296,0,0.0,0.0
20,40459189.0809827,23072876.63429494,5286986.634294938,5297790.458209032,0,0.0,0.0
21,37640046.22383985,20588669.509381376,2802779.509381376,3540676.0551561066,0,0.0,0.0
22,34243906.82438579,17050821.81321598,0.0,1557248.2475853704,0,0.0,0.0
23,32087352.320291176,14779703.173320252,0.0,1557248.2475853704,0,0.0,0.0
24,31813219.108280256,15507262.88224657,0.0,2316325.6794584068,0,0.0,0.0
