,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2,Curtailement,Loss of load
0,31385392.17470428,9463150.6983523,0.0,0.0,0.0,1937000.0,0.0
1,31690389.444949962,9908323.037453894,0.0,0.0,0.0,1532406.9625461064,0.0
2,30446939.035486802,9319526.365624975,0.0,0.0,0.0,1961203.6343750246,0.0
3,29345429.66333031,8362710.27895204,0.0,0.0,0.0,2758019.72104796,0.0
4,28060921.929026388,7525178.146581642,0.0,0.0,0.0,3435551.8534183577,0.0
5,27980566.87898089,8032708.994715773,0.0,0.0,0.0,3088021.0052842274,0.0
6,29233401.81983621,10672247.018350229,0.0,0.0,0.0,928482.9816497713,0.0
7,28878549.226569604,11253277.815823562,0.0,0.0,0.0,507452.18417643756,0.0
8,30066865.51410373,14026360.798145775,890910.7981457748,890910.7981457748,0.0,0.0,0.0
9,33302182.71155596,17963473.534910984,4828023.534910984,4828023.534910984,0.0,0.0,0.0
10,36470048.58962694,21247536.63710932,8112086.637109321,8112086.637109321,0.0,0.0,0.0
11,39206226.02365786,24079784.955670275,10944334.955670275,10944334.955670275,0.0,0.0,0.0
12,40948816.19654232,26057246.38134013,12921796.381340131,12921796.381340131,0.0,0.0,0.0
13,41012748.31665149,27842800.562600873,14707350.562600873,14707350.562600873,0.0,0.0,0.0
14,40644405.45950864,26902691.750914454,13767241.750914454,13767241.750914454,0.0,0.0,0.0
15,40914797.270245686,26397231.469237074,13261781.469237074,13261781.469237074,0.0,0.0,0.0
16,44384141.219290264,27690696.804640304,14555246.804640304,14555246.804640304,0.0,0.0,0.0
17,46244624.56778891,27748989.353166245,14613539.353166245,14613539.353166245,0.0,0.0,0.0
18,44609369.97270247,25548608.37057682,12413158.370576821,12413158.370576821,0.0,0.0,0.0
19,42434504.82256597,22710972.84346398,9575522.84346398,9575522.84346398,0.0,0.0,0.0
20,39647298.999090075,18640530.246474944,5505080.246474944,5505080.246474944,0.0,0.0,0.0
21,36884727.57051866,16506260.261598904,3370810.2615989037,3370810.2615989037,0.0,0.0,0.0
22,33556738.125568695,13988638.789518021,853188.789518021,853188.789518021,0.0,0.0,0.0
23,31443458.962693356,12373812.961446654,0.0,0.0,0.0,0.0,0.0
24,31174826.751592364,13103251.46585552,0.0,0.0,0.0,0.0,0.0
25,31360757.779799823,15220520.853986658,2085070.8539866582,2085070.8539866582,0.0,0.0,0.0
26,30834637.48862603,16719910.440878676,3584460.4408786763,3584460.4408786763,0.0,0.0,0.0
27,30805897.36123749,18944907.912115782,5809457.9121157825,5809457.9121157825,0.0,0.0,0.0
28,30591226.2056415,19835930.37505532,6700480.375055321,6700480.375055321,0.0,0.0,0.0
29,31441112.82984532,20923041.5865815,7787591.586581498,7787591.586581498,0.0,0.0,0.0
30,35001955.959963605,24046213.35179057,10910763.35179057,10910763.35179057,0.0,0.0,0.0
31,39993940.12738853,27896738.596267488,14761288.596267488,14761288.596267488,0.0,0.0,0.0
32,43829867.333939955,29910112.59933392,16774662.59933392,16774662.59933392,0.0,0.0,0.0
33,47129116.65150136,31024486.788505003,17889036.788505003,17889036.788505003,0.0,0.0,0.0
34,48739150.31847135,31058299.253832206,17922849.253832206,17922849.253832206,0.0,0.0,0.0
35,49520412.55686988,30762183.87350139,17626733.87350139,17626733.87350139,0.0,0.0,0.0
36,50212521.74704276,28669467.52874001,15534017.528740011,15534017.528740011,0.0,0.0,0.0
