,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,21,250000,212500.0,2052,False,Cory Energy Company Ltd,250000,212500.0
CCGT,0,29,250000,212500.0,2052,False,Barking Power,500000,425000.0
CCGT,0,17,250000,212500.0,2052,False,E.On UK,750000,637500.0
CCGT,0,30,250000,212500.0,2052,False,Corby Power Ltd,1000000,850000.0
CCGT,0,20,250000,212500.0,2052,False,Baglan Generation Ltd,1250000,1062500.0
CCGT,0,1,250000,212500.0,2052,False,Derwent Cogeneration,1500000,1275000.0
CCGT,0,19,250000,212500.0,2052,False,Centrica,1750000,1487500.0
OCGT,0,16,500000,460000.0,2051,False,Citigen (London) UK Ltd,500000,1947500.0
OCGT,0,13,500000,460000.0,2051,False,Drax Power Ltd,1000000,2407500.0
Biomass,0,2,14000,12320.0,2051,False,Sembcorp Utilities (UK) Ltd,14000,2419820.0
Biomass,0,29,14000,12320.0,2051,False,E.On UK,28000,2432140.0
Biomass,0,20,14000,12320.0,2051,False,EPR Ely Limited,42000,2444460.0
CCGT,75,5,250000,212500.0,2052,False,EDF Energy,2000000,2656960.0
