,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW,Cumulative_capacity_kW
Hydrogen,0.04107461246255321,22,500000,2016,EDF Energy,500000,500000
Hydro,0.041401582813000104,9,10000,2015,Statkraft Energy Ltd,10000,510000
Hydro,0.041401582813000104,10,10000,2015,Lanark,20000,520000
Hydro,0.041401582813000104,8,10000,2015,Sloy/Awe,60000,530000
Hydro,0.041401582813000104,30,10000,2015,Shin,40000,540000
Hydro,0.041401582813000104,30,10000,2015,Conon,50000,550000
Hydro,0.041401582813000104,5,10000,2015,Scottish Power Hydro schemes: Galloway,30000,560000
Wind Onshore,0.05320694803182193,14,30000,2017,Wind,150000,590000
Wind Onshore,0.05320694803182193,24,30000,2017,Cemmaes Windfarm Ldt,180000,620000
Wind Onshore,0.05320694803182193,12,30000,2017,Yorkshire Windpower Ltd,210000,650000
Wind Onshore,0.05320694803182193,26,30000,2017,Llangwyryfon Windfarm Ltd,240000,680000
Wind Onshore,0.05320694803182193,4,30000,2017,RES-Gen Ltd,270000,710000
Wind Onshore,0.05320694803182193,23,30000,2017,Centrica,300000,740000
Wind Onshore,0.05320694803182193,26,30000,2017,Kirkheaton Wind Ltd,360000,770000
Wind Onshore,0.05320694803182193,28,30000,2017,Dong Energy,390000,800000
Wind Onshore,0.05320694803182193,14,30000,2017,Fenland Windfarms Ltd,120000,830000
Wind Onshore,0.05320694803182193,28,30000,2017,Infinis Windfarm,450000,860000
Wind Onshore,0.05320694803182193,23,30000,2017,K/S Winscales,480000,890000
Wind Onshore,0.05320694803182193,15,30000,2017,GDF Suez,510000,920000
Wind Onshore,0.05320694803182193,21,30000,2017,Npower Renewables Ltd,540000,950000
Wind Onshore,0.05320694803182193,9,30000,2017,E.On UK,330000,980000
Wind Onshore,0.05320694803182193,16,30000,2017,Distributed Generation,420000,1010000
Wind Onshore,0.05320694803182193,10,30000,2017,Cold Northcott Windfarm Ltd,90000,1040000
Wind Onshore,0.05320694803182193,21,30000,2017,EDF Energy Renewable,30000,1070000
Wind Onshore,0.05320694803182193,19,30000,2017,Great Orton Windfarm Ltd,60000,1100000
Solar,0.07978606893711651,4,100000,2014,Distributed Generation,100000,1200000
Wind Offshore,0.08242145650055531,10,50000,2018,Beaufort Wind Ltd,50000,1250000
Wind Offshore,0.08242145650055531,20,50000,2018,E.On UK,100000,1300000
Wind Offshore,0.08242145650055531,10,50000,2018,Centrica,150000,1350000
Wind Offshore,0.08242145650055531,19,50000,2018,Vattenfall Wind Power,200000,1400000
Wind Offshore,0.08242145650055531,1,50000,2018,Distributed Generation,250000,1450000
Wind Offshore,0.08242145650055531,27,50000,2018,Talisman Energy,300000,1500000
Wind Offshore,0.08242145650055531,8,50000,2018,Npower Renewables Ltd,350000,1550000
Nuclear,0.09073742222687527,29,1000000,2021,British Energy,1000000,2550000
Wind Offshore,662.8047239986947,1,50000,2018,Cemmaes Windfarm Ldt,900000,2600000
Wind Offshore,662.8047239986947,27,50000,2018,Fred Olsen,950000,2650000
Wind Offshore,662.8047239986947,16,50000,2018,High Hedley Hope Wind Ltd,400000,2700000
Wind Offshore,662.8047239986947,30,50000,2018,Infinis Windfarm,1000000,2750000
Wind Offshore,662.8047239986947,26,50000,2018,Fenland Windfarms Ltd,550000,2800000
Wind Offshore,662.8047239986947,30,50000,2018,Llangwyryfon Windfarm Ltd,600000,2850000
Wind Offshore,662.8047239986947,27,50000,2018,Wind,650000,2900000
Wind Offshore,662.8047239986947,19,50000,2018,GDF Suez,700000,2950000
Wind Offshore,662.8047239986947,12,50000,2018,Statkraft Energy Ltd,750000,3000000
Wind Offshore,662.8047239986947,13,50000,2018,HG Capital,800000,3050000
Wind Offshore,662.8047239986947,16,50000,2018,Bares of Doune Windfarm,850000,3100000
Wind Offshore,662.8047239986947,8,50000,2018,EDF Energy Renewable,450000,3150000
Wind Offshore,662.8047239986947,8,50000,2018,Yorkshire Windpower Ltd,500000,3200000
