,Capacity_kW,Derated_Capacity_kW,Capacity_Margin_%,Derated_Capacity_Margin_%,Peak_Demand_kW,Emissions_kgCO2,Carbon_Intensity_Target_gCO2/kWh,Carbon_Price_£/tCO2,Generation_kWh,Capacity_Auction_Estimated_Peak_Demand_kW,Capacity_Auction_Estimated_DeRated_Capacity_kW
2010,76045200.0,60507338.0,0.231267921705523,-0.020309706500954476,61761700.0,122921348630.35129,347.5751894708312,14.0,353653978632.63464,65945000.00000001,65895680.0
2011,86889800.0,62329772.0,0.43951902160857387,0.03262859859874785,60360300.0,96608592418.37305,279.514333103611,15.400000000000002,345630191288.12244,65182000.00000001,66135680.0
2012,100750400.0,65145096.0,0.6774958374958375,0.08466693306693307,60060000.0,71588156175.74974,208.14016393583668,16.940000000000005,343942057227.447,64310000.00000001,68638870.0
2013,103426500.0,66811240.0,0.7249278267642207,0.11426536735384815,59959900.0,66274495683.61042,192.98556560417592,16.940000000000005,343416853359.60864,64637000.00000001,70262990.0
2014,107208500.0,69560000.0,0.7702710512627868,0.14860346265304944,60560500.0,64506744087.33854,185.97374368766114,16.940000000000005,346859415787.61896,64964000.00000001,71058330.0
2015,111410500.0,72507360.0,0.8611906488160669,0.21128637249038587,59859800.0,59117912338.38944,172.36858241177242,22.7,342973826849.50256,64092000.00000001,63245400.0
2016,115052500.0,75589320.0,0.9480942786027532,0.2798950202340033,59059000.0,54677457528.74403,161.55634191615957,23.2,338442037497.4767,62893000.00000001,58843860.0
2017,118049500.0,77638910.0,0.9887279668055384,0.3079485438675995,59359300.0,52949582333.963425,155.65022799686423,23.5,340183133782.68976,62239000.00000001,55851220.0
2018,119381500.0,78133190.0,1.001044257755667,0.3096499138445447,59659600.0,49607910926.27934,144.9544966063128,30.756859344,342230921342.2422,61585000.00000001,57359420.0
2019,115461500.0,74644490.0,0.9616692830978545,0.26819591972653195,58858800.0,44029156176.225105,130.36373535907865,30.8762330437,337740829955.122,61258000.00000001,57968030.0
2020,100133500.0,60675360.0,0.7336822622784495,0.0505155156801604,57757700.0,37755568683.55092,113.83190661027568,31.6594532992,331678259706.3405,61040000.00000001,54215200.0
2021,102072500.0,61631380.0,0.7858236334593602,0.07828038861313817,57157100.0,31917059217.835976,96.98430975735397,31.9463984597,329095080407.22864,60713000.00000001,52446670.0
2022,97800500.0,57868540.0,0.7292530478371186,0.023198748154500366,56556500.0,27695845441.51627,85.0258076994924,32.2521127698,325734576252.44775,60277000.00000001,55307580.0
2023,102298500.0,61235580.0,0.8184395675498878,0.08851255506059777,56256200.0,23516802008.293983,72.52695122553396,32.5683099538,324249146157.6096,60713000.00000001,58111030.0
2024,104279500.0,62256830.0,0.8602736549165121,0.11061848865420294,56056000.0,19495255623.763935,60.11844093930945,32.8876071102,324280791703.24316,61258000.00000001,60702000.0
2025,104284500.0,62214240.0,0.8703827590721667,0.11583640775741315,55755700.0,16126053533.417936,49.98313402419866,33.2100346309,322629900030.09265,61585000.00000001,59382540.0
2026,104252500.0,61713510.0,0.8833336645271546,0.1148618108835107,55355300.0,14366274579.631819,44.79806243458732,33.5356232057,320689641446.18945,62566000.00000001,62170250.0
2027,105089500.0,61779020.0,0.8848207447848382,0.10803056907186172,55755700.0,12737220786.55044,39.28023686942144,33.8644038254,324265376221.9548,63874000.00000001,61260420.0
2028,106002500.0,62558910.0,0.8842811992278184,0.11203582893974354,56256200.0,13167558951.234047,40.341523691735674,34.1964077845,326402122335.59094,65182000.00000001,64284430.0
2029,105641300.0,62431032.0,0.8678896324914024,0.10387014755156349,56556500.0,11995709689.81077,36.63685280828069,35.5966439821,327421947310.373,66381000.00000001,64731378.0
2030,106049700.0,63063348.0,0.84571003908983,0.09756703227086502,57457400.0,9238528285.766546,27.78651459763195,42.6631282762,332482444075.72736,67580000.0,62983864.0
2031,104711700.0,62411898.0,0.7851039745237698,0.06398546845645822,58658600.0,10248254411.852802,30.29084817754371,53.9845132865,338328407041.7811,68561000.0,63680580.0
2032,103789700.0,62294908.0,0.7338798325420399,0.04068018937584155,59859800.0,11129550522.16494,32.36079269742394,65.3058982968,343920825000.39935,69433000.0,62870480.0
