,CCGT_Derated_Capacity_kW,OCGT_Derated_Capacity_kW,Coal_Derated_Capacity_kW,Nuclear_Derated_Capacity_kW,Wind Offshore_Derated_Capacity_kW,Wind Onshore_Derated_Capacity_kW,Solar_Derated_Capacity_kW,Hydro_Derated_Capacity_kW,Biomass_Derated_Capacity_kW,BECCS_Derated_Capacity_kW,Hydrogen_Derated_Capacity_kW,Battery_Derated_Capacity_kW,CCGT_Capacity_kW,OCGT_Capacity_kW,Coal_Capacity_kW,Nuclear_Capacity_kW,Wind Offshore_Capacity_kW,Wind Onshore_Capacity_kW,Solar_Capacity_kW,Hydro_Capacity_kW,Biomass_Capacity_kW,BECCS_Capacity_kW,Hydrogen_Capacity_kW,Battery_Capacity_kW
2010,23019700.0,1696480.0,25002560.0,8219070.0,321888.0,945880.0,0.0,1196160.0,105600.0,0.0,0.0,0.0,27082000.0,1844000.0,28412000.0,10147000.0,1341200.0,5564000.0,111000.0,1424000.0,120000.0,0.0,0.0,0.0
2011,23019700.0,1696480.0,25002560.0,8219070.0,365952.0,2724250.0,0.0,1196160.0,105600.0,0.0,0.0,0.0,27082000.0,1844000.0,28412000.0,10147000.0,1524800.0,16025000.0,311000.0,1424000.0,120000.0,0.0,0.0,0.0
2012,23019700.0,1696480.0,25002560.0,8219070.0,643056.0,4772070.0,0.0,1246560.0,105600.0,440000.0,0.0,0.0,27082000.0,1844000.0,28412000.0,10147000.0,2679400.0,28071000.0,411000.0,1484000.0,120000.0,500000.0,0.0,0.0
2013,23019700.0,2616480.0,25002560.0,8219070.0,876840.0,4772070.0,0.0,1296960.0,142560.0,440000.0,425000.0,0.0,27082000.0,2844000.0,28412000.0,10147000.0,3653500.0,28071000.0,511000.0,1544000.0,162000.0,500000.0,500000.0,0.0
2014,24719700.0,3536480.0,25002560.0,8219070.0,876840.0,4863870.0,0.0,1296960.0,179520.0,440000.0,425000.0,0.0,29082000.0,3844000.0,28412000.0,10147000.0,3653500.0,28611000.0,711000.0,1544000.0,204000.0,500000.0,500000.0,0.0
2015,26419700.0,4456480.0,25002560.0,8219070.0,1116840.0,4863870.0,0.0,1347360.0,216480.0,440000.0,425000.0,0.0,31082000.0,4844000.0,28412000.0,10147000.0,4653500.0,28611000.0,811000.0,1604000.0,246000.0,500000.0,500000.0,0.0
2016,28119700.0,5376480.0,25002560.0,8219070.0,1116840.0,4863870.0,0.0,1347360.0,253440.0,440000.0,850000.0,0.0,33082000.0,5844000.0,28412000.0,10147000.0,4653500.0,28611000.0,911000.0,1604000.0,288000.0,500000.0,1000000.0,0.0
2017,29625050.0,5376480.0,25002560.0,8219070.0,1116840.0,4946150.0,0.0,1347360.0,290400.0,440000.0,1275000.0,0.0,34853000.0,5844000.0,28412000.0,10147000.0,4653500.0,29095000.0,1111000.0,1604000.0,330000.0,500000.0,1500000.0,0.0
2018,28031300.0,6296480.0,25002560.0,9029070.0,1356840.0,4939860.0,0.0,1397760.0,364320.0,440000.0,1275000.0,0.0,32978000.0,6844000.0,28412000.0,11147000.0,5653500.0,29058000.0,1211000.0,1664000.0,414000.0,500000.0,1500000.0,0.0
2019,27452450.0,6890800.0,20620160.0,9029070.0,1356840.0,4936290.0,0.0,1340640.0,438240.0,880000.0,1700000.0,0.0,32297000.0,7490000.0,23432000.0,11147000.0,5653500.0,29037000.0,1311000.0,1596000.0,498000.0,1000000.0,2000000.0,0.0
2020,26493650.0,7742720.0,5901280.0,9029070.0,1356840.0,5024520.0,0.0,1170120.0,512160.0,1320000.0,2125000.0,0.0,31169000.0,8416000.0,6706000.0,11147000.0,5653500.0,29556000.0,1511000.0,1393000.0,582000.0,1500000.0,2500000.0,0.0
2021,27043600.0,8324160.0,4176480.0,9839070.0,1596840.0,5010750.0,0.0,1184400.0,586080.0,1320000.0,2550000.0,0.0,31816000.0,9048000.0,4746000.0,12147000.0,6653500.0,29475000.0,1611000.0,1410000.0,666000.0,1500000.0,3000000.0,0.0
2022,26189350.0,8957120.0,0.0,9839070.0,1596840.0,5004120.0,0.0,887040.0,660000.0,1760000.0,2975000.0,0.0,30811000.0,9736000.0,0.0,12147000.0,6653500.0,29436000.0,1711000.0,1056000.0,750000.0,2000000.0,3500000.0,0.0
2023,27889350.0,9736360.0,0.0,9839070.0,1595880.0,5095920.0,0.0,745080.0,733920.0,2200000.0,3400000.0,0.0,32811000.0,10583000.0,0.0,12147000.0,6649500.0,29976000.0,1911000.0,887000.0,834000.0,2500000.0,4000000.0,0.0
2024,26757150.0,10465920.0,0.0,10649070.0,1835880.0,5092690.0,0.0,623280.0,807840.0,2200000.0,3825000.0,0.0,31479000.0,11376000.0,0.0,13147000.0,7649500.0,29957000.0,2011000.0,742000.0,918000.0,2500000.0,4500000.0,0.0
2025,26053350.0,10331600.0,0.0,10649070.0,1835880.0,5085380.0,0.0,487200.0,881760.0,2640000.0,4250000.0,0.0,30651000.0,11230000.0,0.0,13147000.0,7649500.0,29914000.0,2111000.0,580000.0,1002000.0,3000000.0,5000000.0,0.0
2026,25260300.0,10129200.0,0.0,10649070.0,1821480.0,5166980.0,0.0,452760.0,918720.0,2640000.0,4675000.0,0.0,29718000.0,11010000.0,0.0,13147000.0,7589500.0,30394000.0,2311000.0,539000.0,1044000.0,3000000.0,5500000.0,0.0
2027,24223300.0,10120000.0,0.0,11459070.0,2047080.0,5153890.0,0.0,501480.0,959200.0,2640000.0,4675000.0,0.0,28498000.0,11000000.0,0.0,14147000.0,8529500.0,30317000.0,2411000.0,597000.0,1090000.0,3000000.0,5500000.0,0.0
2028,25386950.0,9660000.0,0.0,11107530.0,2025480.0,5141310.0,0.0,501480.0,996160.0,2640000.0,5100000.0,0.0,29867000.0,10500000.0,0.0,13713000.0,8439500.0,30243000.0,2511000.0,597000.0,1132000.0,3000000.0,6000000.0,0.0
2029,25386950.0,9200000.0,0.0,11107530.0,1778232.0,5206760.0,0.0,501480.0,1070080.0,3080000.0,5100000.0,0.0,29867000.0,10000000.0,0.0,13713000.0,7409300.0,30628000.0,2711000.0,597000.0,1216000.0,3500000.0,6000000.0,0.0
