Busbars,CCGT_Derated_Capacity_kW,OCGT_Derated_Capacity_kW,Coal_Derated_Capacity_kW,Nuclear_Derated_Capacity_kW,Wind Offshore_Derated_Capacity_kW,Wind Onshore_Derated_Capacity_kW,Solar_Derated_Capacity_kW,Hydro_Derated_Capacity_kW,Biomass_Derated_Capacity_kW,BECCS_Derated_Capacity_kW,Hydrogen_Derated_Capacity_kW,Battery_Derated_Capacity_kW,CCGT_Capacity_kW,OCGT_Capacity_kW,Coal_Capacity_kW,Nuclear_Capacity_kW,Wind Offshore_Capacity_kW,Wind Onshore_Capacity_kW,Solar_Capacity_kW,Hydro_Capacity_kW,Biomass_Capacity_kW,BECCS_Capacity_kW,Hydrogen_Capacity_kW,Battery_Capacity_kW
1,0.0,460000.0,0.0,0.0,0.0,260610.00000000003,0.0,477120.0,0.0,0.0,0.0,0,0.0,500000.0,0.0,0.0,0.0,1533000.0,0.0,568000.0,0.0,0,0,0
2,1003000.0,460000.0,0.0,0.0,0.0,559130.0000000001,0.0,0.0,0.0,0.0,0.0,0,1180000.0,500000.0,0.0,0.0,0.0,3289000.0,100000.0,0.0,0.0,0,0,0
3,212500.0,0.0,0.0,0.0,0.0,4760.0,0.0,228480.0,0.0,0.0,0.0,0,250000.0,0.0,0.0,0.0,0.0,28000.0,0.0,272000.0,0.0,0,0,0
4,212500.0,0.0,2027520.0,0.0,0.0,268090.0,0.0,110880.0,0.0,0.0,0.0,0,250000.0,0.0,2304000.0,0.0,0.0,1577000.0,100000.0,132000.0,0.0,0,0,0
5,212500.0,0.0,0.0,696600.0,2400.0,233410.00000000003,0.0,228480.0,0.0,0.0,0.0,0,250000.0,0.0,0.0,860000.0,10000.0,1373000.0,0.0,272000.0,0.0,0,0,0
6,0.0,0.0,0.0,0.0,0.0,527000.0,0.0,56280.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.0,67000.0,0.0,0,0,0
7,1158550.0,0.0,1013760.0,976050.0000000001,0.0,203830.00000000003,0.0,9240.0,0.0,0.0,0.0,0,1363000.0,0.0,1152000.0,1205000.0,0.0,1199000.0,100000.0,11000.0,0.0,0,0,0
8,0.0,0.0,0.0,0.0,960.0,107780.00000000001,0.0,20160.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4000.0,634000.0,0.0,24000.0,0.0,0,0,0
9,0.0,165600.0,0.0,0.0,79200.0,88230.0,0.0,41160.0,38720.0,0.0,0.0,0,0.0,180000.0,0.0,0.0,330000.0,519000.0,100000.0,49000.0,44000.0,0,0,0
10,1593750.0,38640.0,246400.0,963900.0000000001,14904.0,388280.00000000006,0.0,8400.0,33440.0,0.0,0.0,0,1875000.0,42000.0,280000.0,1190000.0,62100.0,2284000.0,0.0,10000.0,38000.0,0,0,0
11,194650.0,0.0,0.0,1935900.0000000002,109728.0,118320.00000000001,0.0,0.0,0.0,0.0,0.0,0,229000.0,0.0,0.0,2390000.0,457200.0,696000.0,0.0,0.0,0.0,0,0,0
12,1173000.0,460000.0,0.0,793800.0,21600.0,64430.00000000001,0.0,58800.0,0.0,0.0,425000.0,0,1380000.0,500000.0,0.0,980000.0,90000.0,379000.0,0.0,70000.0,0.0,0,500000,0
13,472600.0,214360.0,1742400.0,0.0,14400.0,79390.0,0.0,0.0,0.0,0.0,0.0,0,556000.0,233000.0,1980000.0,0.0,60000.0,467000.0,0.0,0.0,0.0,0,0,0
14,736100.0,68080.0,5216640.0,0.0,0.0,168470.00000000003,0.0,0.0,0.0,440000.0,0.0,0,866000.0,74000.0,5928000.0,0.0,0.0,991000.0,0.0,0.0,0.0,500000,0,0
15,0.0,36800.0,1770560.0,0.0,0.0,9520.0,0.0,0.0,0.0,0.0,0.0,0,0.0,40000.0,2012000.0,0.0,0.0,56000.0,0.0,0.0,0.0,0,0,0
16,4512650.0,69000.0,3405600.0,0.0,90960.0,109310.00000000001,0.0,0.0,0.0,0.0,0.0,0,5309000.0,75000.0,3870000.0,0.0,379000.0,643000.0,0.0,0.0,0.0,0,0,0
17,905250.0,77280.0,1760000.0,351540.0,0.0,120700.00000000001,0.0,0.0,0.0,0.0,0.0,0,1065000.0,84000.0,2000000.0,434000.0,0.0,710000.0,0.0,0.0,0.0,0,0,0
18,212500.0,0.0,1738880.0,0.0,0.0,6970.0,0.0,0.0,0.0,0.0,0.0,0,250000.0,0.0,1976000.0,0.0,0.0,41000.0,100000.0,0.0,0.0,0,0,0
19,2273750.0,460000.0,0.0,0.0,99360.0,138040.0,0.0,0.0,24640.0,0.0,0.0,0,2675000.0,500000.0,0.0,0.0,414000.0,812000.0,0.0,0.0,28000.0,0,0,0
20,357000.0,0.0,0.0,962280.0000000001,135360.0,88740.0,0.0,0.0,0.0,0.0,0.0,0,420000.0,0.0,0.0,1188000.0,564000.0,522000.0,0.0,0.0,0.0,0,0,0
21,565250.0,15640.0,0.0,0.0,0.0,57970.00000000001,0.0,0.0,33440.0,0.0,0.0,0,665000.0,17000.0,0.0,0.0,0.0,341000.0,0.0,0.0,38000.0,0,0,0
22,0.0,92000.0,1723040.0,0.0,0.0,570860.0000000001,0.0,0.0,12320.0,0.0,0.0,0,0.0,100000.0,1958000.0,0.0,0.0,3358000.0,0.0,0.0,14000.0,0,0,0
23,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0,0,0
24,1251200.0,52440.0,0.0,0.0,0.0,0.0,0.0,0.0,24640.0,0.0,0.0,0,1472000.0,57000.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,0,0,0
25,940950.0,172960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1107000.0,188000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
26,2327300.0,209760.0,935440.0,0.0,135168.0,215560.00000000003,0.0,0.0,0.0,0.0,0.0,0,2738000.0,228000.0,1063000.0,0.0,563200.0,1268000.0,111000.0,0.0,0.0,0,0,0
27,340000.0,40480.0,1707200.0,842400.0,172800.0,10200.0,0.0,0.0,12320.0,0.0,0.0,0,400000.0,44000.0,1940000.0,1040000.0,720000.0,60000.0,0.0,0.0,14000.0,0,0,0
28,1931200.0,191360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2272000.0,208000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
29,769250.0,186760.0,0.0,696600.0,0.0,280160.00000000006,0.0,0.0,0.0,0.0,0.0,0,905000.0,203000.0,0.0,860000.0,0.0,1648000.0,100000.0,0.0,0.0,0,0,0
30,1364250.0,65320.0,1715120.0,0.0,0.0,183770.00000000003,0.0,57960.0,0.0,0.0,0.0,0,1605000.0,71000.0,1949000.0,0.0,0.0,1081000.0,0.0,69000.0,0.0,0,0,0
